,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
291,0,cyl.ram,cactus,cyl.ram,47,75,u3,shrub,u3,8,47
295,1.992485884,cyl.ram,cactus,cyl.ram,127,87,lar.tri,shrub,lar.tri,413,246
306,0.1,cyl.ram,cactus,cyl.ram,46,65,u3,shrub,u3,45,52
335,0.180277564,cyl.ram,cactus,cyl.ram,31,43,u3,shrub,u3,67,40
411,1.217579566,cyl.ram,cactus,cyl.ram,80,60,u3,shrub,u3,73,36
470,1.101135777,cyl.ram,cactus,cyl.ram,61,58,tha.mon,shrub,tha.mon,88,42
494,0.380788655,cyl.ram,cactus,cyl.ram,103,112,u3,shrub,u3,33,40
541,0.223606798,cyl.ram,cactus,cyl.ram,68,80,ephedra,shrub,ephedra,85,35
29,0.632455532,dense.u3,shrub,dense.u3,50,50,u3,shrub,u3,25,44
128,0.15,dense.u3,shrub,dense.u3,76,47,dense.u3,shrub,dense.u3,80,42
193,0.15,dense.u3,shrub,dense.u3,80,42,dense.u3,shrub,dense.u3,76,47
234,2.102974084,dense.u3,shrub,dense.u3,43,35,ephedra,shrub,ephedra,117,55
274,0.474341649,dense.u3,shrub,dense.u3,36,28,ephedra,shrub,ephedra,104,50
1,0.353553391,ephedra,shrub,ephedra,48,52,PG,shrub,PG,79,65
11,0.764852927,ephedra,shrub,ephedra,73,48,tha.mon,shrub,tha.mon,70,37
16,0.921954446,ephedra,shrub,ephedra,93,37,amb.sal,shrub,amb.sal,51,51
20,0,ephedra,shrub,ephedra,54,40,tha.mon,shrub,tha.mon,54,40
26,0.223606797,ephedra,shrub,ephedra,100,53,cyl.ech,cactus,cyl.ech,40,55
36,0,ephedra,shrub,ephedra,105,70,lar.tri,shrub,lar.tri,340,230
44,0.3,ephedra,shrub,ephedra,104,70,tha.mon,shrub,tha.mon,82,46
46,1.202081528,ephedra,shrub,ephedra,84,41,eri.fas,shrub,eri.fas,57,32
47,1.589024858,ephedra,shrub,ephedra,80,50,cyl.ech,cactus,cyl.ech,40,55
48,0.474341649,ephedra,shrub,ephedra,135,75,cyl.ech,cactus,cyl.ech,19,43
68,1.220655562,ephedra,shrub,ephedra,84,69,ephedra,shrub,ephedra,123,52
69,0.565685425,ephedra,shrub,ephedra,73,44,ephedra,shrub,ephedra,79,52
70,0.565685425,ephedra,shrub,ephedra,79,52,ephedra,shrub,ephedra,73,44
71,1.162970335,ephedra,shrub,ephedra,123,52,tha.mon,shrub,tha.mon,53,42
100,0.602079729,ephedra,shrub,ephedra,147,62,u3,shrub,u3,45,43
107,1.91637679,ephedra,shrub,ephedra,90,60,ephedra,shrub,ephedra,125,62
108,0.743303437,ephedra,shrub,ephedra,125,62,u3,shrub,u3,90,32
127,1.569235483,ephedra,shrub,ephedra,194,65,dense.u3,shrub,dense.u3,80,42
135,0.111803399,ephedra,shrub,ephedra,98,42,cyl.ram,cactus,cyl.ram,108,75
141,0.919238815,ephedra,shrub,ephedra,46,43,u3,shrub,u3,86,46
144,0.320156212,ephedra,shrub,ephedra,149,66,yuc.sch,yucca,yuc.sch,122,132
145,0.905538514,ephedra,shrub,ephedra,123,47,cyl.ram,cactus,cyl.ram,87,68
166,1.210371844,ephedra,shrub,ephedra,40,37,u3,shrub,u3,48,42
172,0.961769203,ephedra,shrub,ephedra,132,60,u3,shrub,u3,42,40
178,0.5,ephedra,shrub,ephedra,74,66,u3,shrub,u3,66,44
179,0.353553391,ephedra,shrub,ephedra,73,41,u3,shrub,u3,78,39
180,0.5,ephedra,shrub,ephedra,61,45,u3,shrub,u3,78,39
188,0.75,ephedra,shrub,ephedra,138,60,u3,shrub,u3,35,48
194,1.154339638,ephedra,shrub,ephedra,137,75,amb.sal,shrub,amb.sal,62,40
199,1.063014581,ephedra,shrub,ephedra,67,30,yuc.sch,yucca,yuc.sch,319,240
204,0.360555128,ephedra,shrub,ephedra,134,76,tha.mon,shrub,tha.mon,61,59
229,1.408012784,ephedra,shrub,ephedra,117,55,amb.sal,shrub,amb.sal,85,80
231,0.986154146,ephedra,shrub,ephedra,144,70,u3,shrub,u3,65,56
237,0.608276253,ephedra,shrub,ephedra,82,61,ephedra,shrub,ephedra,74,58
238,0.608276253,ephedra,shrub,ephedra,74,58,ephedra,shrub,ephedra,82,61
240,0.87321246,ephedra,shrub,ephedra,136,56,cyl.ram,cactus,cyl.ram,47,47
245,1.073545527,ephedra,shrub,ephedra,77,53,cyl.ech,cactus,cyl.ech,30,30
252,0.25,ephedra,shrub,ephedra,77,62,u3,shrub,u3,57,41
255,1.063014581,ephedra,shrub,ephedra,106,60,u3,shrub,u3,45,45
259,1.470544117,ephedra,shrub,ephedra,50,48,u3,shrub,u3,60,29
263,0.919238816,ephedra,shrub,ephedra,124,57,u3,shrub,u3,47,56
273,0.474341649,ephedra,shrub,ephedra,104,50,dense.u3,shrub,dense.u3,36,28
