,names,Joincount,Expected,Variance,z.value,p,transect
101,eri.fas:eri.fas,0,0.010889292,0.004266197,-0.166716727,0.867592944,5
102,lar.tri:lar.tri,1.333333333,1.415607985,0.489791561,-0.117560224,0.906416123,5
103,men.spi:men.spi,0.291666667,0.277676951,0.103750859,0.043432321,0.965356914,5
104,noID:noID,1.416666667,0.190562613,0.071935491,4.571468388,4.84E-06,5
105,PG:PG,0,0.01814882,0.007086556,-0.215591077,0.829306512,5
106,sal.mex:sal.mex,0.291666667,0.010889292,0.004266197,4.298744488,1.72E-05,5
107,tha.mon:tha.mon,1.141666667,1.01814882,0.35984321,0.205907921,0.836862838,5
108,u2:u2,0,0,0,NA,NA,5
109,u3:u3,52.65,49.05263158,7.289486998,1.332405556,0.182726957,5
110,yuc.sch:yuc.sch,0,0.141560799,0.053802799,-0.610296064,0.541665704,5
111,amb.sal:amb.dum,0.708333333,0.384754991,0.137974421,0.871124356,0.383686257,5
112,cyl.ech:amb.dum,0.625,0.152450091,0.057842956,1.964818519,0.049435246,5
113,cyl.ech:amb.sal,1.541666667,2.019963702,0.705685116,-0.569366893,0.56910718,5
114,cyl.ram:amb.dum,0,0.137931034,0.052513577,-0.601902563,0.547238998,5
115,cyl.ram:amb.sal,1.058333333,1.827586207,0.64046542,-0.961216648,0.336443247,5
116,cyl.ram:cyl.ech,0,0.724137931,0.268088966,-1.398562333,0.161944268,5
117,dense.u3:amb.dum,0,0.036297641,0.014149971,-0.305141036,0.760258738,5
118,dense.u3:amb.sal,0.5,0.480943739,0.172206393,0.045921183,0.963373071,5
119,dense.u3:cyl.ech,0.266666667,0.190562613,0.072186764,0.283255923,0.776980663,5
120,dense.u3:cyl.ram,0,0.172413793,0.065535426,-0.673494328,0.500632856,5
121,ephedra:amb.dum,1.041666667,0.595281307,0.202238598,0.992608339,0.320900859,5
122,ephedra:amb.sal,6.183333333,7.887477314,2.493794753,-1.07913538,0.280527381,5
123,ephedra:cyl.ech,3.333333333,3.12522686,1.036202236,0.204438802,0.838010611,5
124,ephedra:cyl.ram,3.6,2.827586207,0.940235959,0.796584024,0.425692659,5
