FID,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,,,,
180,ephedra, ,86,103,70,6,6,L,440,970, ,ephedra,shrub,622569.777,3849087.692,,,,
181,PG, ,87,74,38,6,6,L,730,615, ,PG,shrub,622572.677,3849084.142,,,,
182,u3, ,53,33,30,6,6,L,630,575, ,u3,shrub,622571.677,3849083.742,,,,
183,u3, ,72,66,35,6,6,L,560,630, ,u3,shrub,622570.977,3849084.292,,,,
184,u3, ,18,18,20,6,6,L,755,655, ,u3,shrub,622572.927,3849084.542,,,,
185,u3, ,44,55,35,6,6,L,570,540, ,u3,shrub,622571.077,3849083.392,,,,
186,amb.sal, ,120,92,66,6,6,L,1000,445, ,amb.sal,shrub,622575.377,3849082.442,,,,
187,tha.mon, ,64,53,39,6,6,L,1000,355, ,tha.mon,shrub,622575.377,3849081.542,,,,
188,ephedra, ,115,149,87,6,6,L,910,95, ,ephedra,shrub,622574.477,3849078.942,,,,
189,ephedra, ,122,117,87,6,6,L,845,150, ,ephedra,shrub,622573.827,3849079.492,,,,
190,lar.tri, ,70,59,60,6,6,L,710,145, ,lar.tri,shrub,622572.477,3849079.442,,,,
191,lar.tri, ,13,19,25,6,6,L,665,315,under dead shrub,lar.tri,shrub,622572.027,3849081.142,,,,
,u3,,30,27,26,,,,,,,u3,shrub,622570.777,3849080.842,,,,
192,eri.fas, ,95,46,49,6,6,L,565,135, ,eri.fas,shrub,622571.027,3849079.342,,,,
193,cyl.ech, ,33,40,46,6,6,L,550,85, ,cyl.ech,cactus,622570.877,3849078.842,,,,
194,eri.fas, ,25,22,45,6,6,L,435,285, ,eri.fas,shrub,622569.727,3849080.842,,,,
195,u2, ,56,33,42,6,5,R,350,155, ,u2,shrub,622558.877,3849089.542,,,,
196,eri.fas, ,26,28,26,6,5,R,265,235, ,eri.fas,shrub,622558.027,3849090.342,,,,
197,eri.fas, ,30,33,28,6,5,R,140,130, ,eri.fas,shrub,622556.777,3849089.292,,,,
198,ephedra, ,51,39,41,6,5,R,30,320, ,ephedra,shrub,622555.677,3849091.192,,,,
199,ephedra, ,89,87,57,6,5,R,0,420, ,ephedra,shrub,622555.377,3849092.192,,,,
200,cyl.aca, ,26,39,63,6,5,R,165,430, ,cyl.aca,cactus,622557.027,3849092.292,,,,
201,cyl.ech, ,29,28,25,6,5,R,45,870, ,cyl.ech,cactus,622555.827,3849096.692,,,,
202,eri.fas, ,67,65,50,6,5,R,95,905, ,eri.fas,shrub,622556.327,3849097.042,,,,
203,lar.tri, ,270,230,193,6,5,R,470,780, ,lar.tri,shrub,622560.077,3849095.792,,,,
204,ephedra, ,42,39,35,6,5,R,560,990, ,ephedra,shrub,622560.977,3849097.892,,,,
205,ephedra, ,130,96,55,6,5,R,750,760, ,ephedra,shrub,622562.877,3849095.592,,,,
206,lar.tri, ,318,336,185,6,5,R,865,725, ,lar.tri,shrub,622564.027,3849095.242,,,,
207,eri.fas, ,12,10,25,6,5,R,925,260, ,eri.fas,shrub,622564.627,3849090.592,,,,
208,ephedra, ,193,132,50,6,5,R,775,135,ring formation,ephedra,shrub,622563.127,3849089.342,,,,
