"","names","Joincount","Expected","Variance","z.value","p","transect"
"1691","u3:cyl.ech",10.0916666666667,8.88021778584392,1.45313164067528,1.00496887972412,0.314911835185067,5
"1692","u3:cyl.ram",8.25,8.03448275862069,1.31633253241903,0.187844815059822,0.85099830370207,5
"1693","u3:dense.u3",1.88333333333333,2.11433756805808,0.349340316247961,-0.390836924208459,0.695917779889946,5
"1694","u3:ephedra",29.4416666666667,34.6751361161525,5.46426214095254,-2.2388444992828,0.0251660357418506,5
"1695","u3:eri.coo",0.5,0.422867513611615,0.0700358928634748,0.291458681796785,0.770700539912064,5
"1696","u3:eri.fas",1.375,1.69147005444646,0.279640082612251,-0.598456944479753,0.5495350794134,5
"1697","u3:lar.tri",19.5333333333333,16.9147005444646,2.73598216512477,1.5831350733194,0.113390681008282,5
"1698","u3:men.spi",8.79166666666667,7.61161524500907,1.24780710608049,1.05639711178555,0.290786824978527,5
"1699","u3:noID",3.58333333333333,6.34301270417423,1.04172733822327,-2.70384378376723,0.00685425043524512,5
"1700","u3:PG",1.76666666666667,2.11433756805808,0.349340316247961,-0.588225691613464,0.556380814913721,5
"1701","u3:sal.mex",1.24166666666667,1.69147005444646,0.279640082612251,-0.850595363716719,0.39499416577467,5
"1702","u3:tha.mon",12.2654761904762,14.3774954627949,2.334144150664,-1.38240100265793,0.166848608422422,5
"1703","u3:u2",0.333333333333333,0.422867513611615,0.0700358928634748,-0.338320665928817,0.735121551816543,5
"1704","yuc.sch:amb.dum",0,0.0943738656987296,0.0251616415644559,-0.594952452474349,0.551875254254408,5
"1705","yuc.sch:amb.sal",0.583333333333333,1.25045372050817,0.306050443573605,-1.20589003473031,0.2278598935331,5
"1706","yuc.sch:cyl.aca",0,0,0,NA,NA,5
"1707","yuc.sch:cyl.ech",0.291666666666667,0.49546279491833,0.128340109682592,-0.568872219633109,0.569442859324996,5
"1708","yuc.sch:cyl.ram",0,0.448275862068966,0.116517307427585,-1.31325823978096,0.189095945126114,5
"1709","yuc.sch:dense.u3",0,0.117967332123412,0.0313994117800684,-0.665734404797133,0.505580878526345,5
"1710","yuc.sch:ephedra",2.54166666666667,1.93466424682396,0.448476339569934,0.906401581331772,0.364723336118811,5
"1711","yuc.sch:eri.coo",0,0.0235934664246824,0.00632199449641482,-0.296732213833022,0.766670961023789,5
"1712","yuc.sch:eri.fas",0,0.0943738656987296,0.0251616415644559,-0.594952452474349,0.551875254254408,5
"1713","yuc.sch:lar.tri",0.833333333333333,0.943738656987296,0.236456045100151,-0.227046496352207,0.820387587259599,5
"1714","yuc.sch:men.spi",0.533333333333333,0.424682395644283,0.11057432219478,0.326743032803582,0.743862249582329,5
"1715","yuc.sch:noID",0.291666666666667,0.353901996370236,0.0926190300751628,-0.204496971318516,0.837965158527231,5
"1716","yuc.sch:PG",0.333333333333333,0.117967332123412,0.0313994117800684,1.21539204157836,0.224216601925058,5
"1717","yuc.sch:sal.mex",0,0.0943738656987296,0.0251616415644559,-0.594952452474349,0.551875254254408,5
"1718","yuc.sch:tha.mon",0.291666666666667,0.802177858439201,0.203135357495586,-1.1326937549231,0.25734288115866,5
"1719","yuc.sch:u2",0,0.0235934664246824,0.00632199449641482,-0.296732213833022,0.766670961023789,5
"1720","yuc.sch:u3",7.09166666666667,5.497277676951,0.903921252283745,1.67698426612302,0.0935455585956575,5
"1721","Jtot",207.858333333333,214.615245009074,8.81896590837912,-2.27530389423695,0.0228877059998617,5
"1722","amb.dum:amb.dum",0,0.0108892921960073,0.00426619746585738,-0.166716726709666,0.867592943724324,5
"1723","amb.sal:amb.sal",4.13333333333333,2.50090744101633,0.82568217482063,1.79649916683982,0.0724151650997941,5
"1724","cyl.aca:cyl.aca",0,0,0,NA,NA,5
"1725","cyl.ech:cyl.ech",0.416666666666667,0.381125226860254,0.140942759289344,0.0946702736726746,0.924576730074706,5
"1726","cyl.ram:cyl.ram",0,0.310344827586207,0.115559778475411,-0.912937740921332,0.36127528675837,5
"1727","dense.u3:dense.u3",0.333333333333333,0.0181488203266788,0.00708655626085322,3.74409836527644,0.000181042721770424,5
"1728","ephedra:ephedra",7.10833333333333,6.02722323049002,1.7849064892787,0.809211771095351,0.418393345289247,5
"1729","eri.coo:eri.coo",0,0,0,NA,NA,5
"1730","eri.fas:eri.fas",0,0.0108892921960073,0.00426619746585738,-0.166716726709666,0.867592943724324,5
"1731","lar.tri:lar.tri",1.33333333333333,1.41560798548094,0.489791560861606,-0.117560224249992,0.906416122780581,5
"1732","men.spi:men.spi",0.291666666666667,0.277676950998185,0.103750859227416,0.043432320835725,0.965356913700464,5
"1733","noID:noID",1.41666666666667,0.190562613430127,0.0719354913368445,4.57146838836117,4.8431836043884e-06,5
"1734","PG:PG",0,0.0181488203266788,0.00708655626085322,-0.21559107669538,0.829306512006581,5
"1735","sal.mex:sal.mex",0.291666666666667,0.0108892921960073,0.00426619746585738,4.29874448800688,1.71768353872185e-05,5
"1736","tha.mon:tha.mon",1.14166666666667,1.01814882032668,0.359843209932493,0.205907921445605,0.836862837620408,5
"1737","u2:u2",0,0,0,NA,NA,5
"1738","u3:u3",52.65,49.0526315789474,7.28948699769262,1.33240555643584,0.182726957235422,5
"1739","yuc.sch:yuc.sch",0,0.141560798548094,0.0538027990629392,-0.610296063550939,0.541665704088751,5
"1740","amb.sal:amb.dum",0.708333333333333,0.38475499092559,0.137974420637996,0.871124355794719,0.383686256843605,5
"1741","cyl.aca:amb.dum",0,0,0,NA,NA,5
"1742","cyl.aca:amb.sal",0,0,0,NA,NA,5
"1743","cyl.ech:amb.dum",0.625,0.152450090744102,0.0578429564784561,1.96481851889732,0.0494352460211722,5
"1744","cyl.ech:amb.sal",1.54166666666667,2.01996370235935,0.705685115717792,-0.569366892965784,0.569107179529325,5
"1745","cyl.ech:cyl.aca",0,0,0,NA,NA,5
"1746","cyl.ram:amb.dum",0,0.137931034482759,0.0525135769384619,-0.60190256337415,0.547238997852816,5
"1747","cyl.ram:amb.sal",1.05833333333333,1.82758620689655,0.640465419879134,-0.961216648179057,0.336443247279211,5
"1748","cyl.ram:cyl.aca",0,0,0,NA,NA,5
"1749","cyl.ram:cyl.ech",0,0.724137931034483,0.268088965713098,-1.39856233260152,0.161944268459609,5
"1750","dense.u3:amb.dum",0,0.0362976406533575,0.014149971353721,-0.30514103606851,0.760258738344222,5
"1751","dense.u3:amb.sal",0.5,0.480943738656987,0.172206392847471,0.0459211827557922,0.963373070587771,5
"1752","dense.u3:cyl.aca",0,0,0,NA,NA,5
"1753","dense.u3:cyl.ech",0.266666666666667,0.190562613430127,0.0721867644128145,0.283255922721554,0.776980662721874,5
"1754","dense.u3:cyl.ram",0,0.172413793103448,0.0655354261700826,-0.673494327858017,0.500632856120143,5
"1755","ephedra:amb.dum",1.04166666666667,0.595281306715064,0.202238598266246,0.992608338979805,0.320900859357687,5
